,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10,I_0,I_1,I_2,I_3,I_4,I_5,I_6,I_7,I_8,I_9,I_10,IR_0,IR_1,IR_2,IR_3,IR_4,IR_5,IR_6,IR_7,IR_8,IR_9,IR_10
847,-4.09,-2.094,-1.784,-1.365,-1.159,-0.598,-0.41,0.612,0.688,0.883,2.167,-0.35,-0.173,-0.127,-0.121,-0.108,-0.085,-0.064,0.085,0.12,0.152,0.263,-0.203,-0.187,-0.157,-0.097,-0.089,-0.064,-0.016,0.087,0.156,0.177,0.428
848,-3.152,-1.965,-1.702,-1.374,-1.061,-0.883,-0.305,0.482,0.682,0.825,1.351,-0.173,-0.15,-0.131,-0.098,-0.076,-0.058,-0.016,0.063,0.089,0.119,0.135,-0.281,-0.138,-0.097,-0.07,-0.051,-0.031,-0.006,0.058,0.143,0.185,0.413
849,-7.259,-2.925,-2.091,-1.533,-1.304,-1.163,-0.353,0.579,0.851,0.999,2.196,-0.301,-0.214,-0.18,-0.132,-0.096,-0.078,-0.035,0.06,0.109,0.201,0.238,-0.566,-0.143,-0.128,-0.097,-0.047,-0.03,-0.005,0.045,0.172,0.275,0.34
850,-2.318,-1.663,-1.334,-1.199,-0.921,-0.737,-0.089,0.51,0.87,1.454,1.933,-0.355,-0.17,-0.159,-0.112,-0.098,-0.076,-0.002,0.098,0.129,0.162,0.321,-0.287,-0.246,-0.182,-0.099,-0.064,-0.056,-0.009,0.06,0.142,0.3,0.503
851,-2.179,-1.407,-1.178,-1.012,-0.815,-0.762,0.306,0.658,0.77,1.421,2.2,-0.286,-0.179,-0.16,-0.134,-0.13,-0.101,0.036,0.107,0.157,0.21,0.398,-0.272,-0.174,-0.157,-0.131,-0.112,-0.097,0.028,0.09,0.166,0.232,0.626
852,-3.544,-2.65,-1.953,-1.582,-1.352,-0.608,0.348,0.507,0.657,0.947,1.574,-0.2,-0.171,-0.127,-0.103,-0.075,-0.056,0.075,0.102,0.141,0.165,0.224,-0.269,-0.104,-0.073,-0.066,-0.044,-0.024,0.065,0.121,0.275,0.362,0.418
853,-2.853,-2.267,-1.838,-1.49,-1.013,-0.86,-0.7,0.448,0.717,0.927,1.872,-0.382,-0.202,-0.152,-0.129,-0.097,-0.046,-0.036,0.044,0.087,0.201,0.254,-0.556,-0.226,-0.151,-0.104,-0.053,-0.03,-0.017,0.033,0.114,0.27,0.541
854,-3.453,-2.703,-2.301,-1.591,-1.129,-0.835,-0.543,0.266,0.526,0.606,1.624,-0.24,-0.211,-0.149,-0.102,-0.061,-0.046,-0.024,0.037,0.083,0.145,0.231,-0.486,-0.17,-0.091,-0.065,-0.046,-0.036,-0.017,0.032,0.164,0.304,0.55
855,-1.662,-1.504,-1.41,-1.311,-1.219,-0.857,-0.609,0.55,0.833,1.142,1.659,-0.449,-0.169,-0.119,-0.103,-0.089,-0.067,-0.042,0.071,0.139,0.211,0.323,-0.329,-0.206,-0.118,-0.082,-0.073,-0.051,-0.025,0.061,0.155,0.239,0.619
856,-4.643,-2.415,-1.726,-0.977,-0.83,-0.505,0.333,0.479,0.58,0.836,3.383,-0.18,-0.143,-0.076,-0.068,-0.055,-0.05,0.04,0.067,0.075,0.083,0.444,-0.343,-0.13,-0.088,-0.054,-0.033,-0.022,0.069,0.095,0.132,0.174,0.224
857,-5.902,-3.238,-2.48,-1.7,-1.256,-0.996,-0.651,0.48,0.919,1.111,1.381,-0.543,-0.382,-0.297,-0.242,-0.183,-0.156,-0.09,0.182,0.218,0.359,0.512,-0.699,-0.46,-0.19,-0.131,-0.096,-0.045,-0.03,0.134,0.211,0.441,0.963
858,-2.81,-2.346,-2.075,-2.007,-1.7,-1.457,-0.996,-0.768,0.001,0.465,1.271,-0.446,-0.371,-0.344,-0.316,-0.276,-0.223,-0.195,-0.176,0.03,0.282,0.384,-0.516,-0.364,-0.278,-0.183,-0.163,-0.128,-0.101,-0.081,0.042,0.534,1.093
859,-11.538,-3.183,-1.878,-0.899,-0.842,-0.72,-0.142,0.288,0.562,1.202,2.884,-0.376,-0.197,-0.164,-0.151,-0.13,-0.125,-0.031,0.09,0.154,0.192,0.258,-0.295,-0.193,-0.172,-0.111,-0.073,-0.057,0.007,0.075,0.144,0.539,0.68
860,-3.593,-3.118,-1.801,-1.32,-1.208,-0.966,-0.592,0.4,0.694,0.855,1.324,-0.466,-0.33,-0.214,-0.108,-0.064,-0.047,-0.033,0.062,0.231,0.308,0.393,-0.357,-0.26,-0.132,-0.091,-0.045,-0.031,-0.026,0.125,0.248,0.35,0.77
861,-2.361,-1.919,-1.7,-1.135,-0.865,-0.54,0.434,0.659,1.083,1.697,10.89,-0.459,-0.284,-0.221,-0.189,-0.133,-0.049,0.113,0.128,0.187,0.257,0.37,-0.552,-0.229,-0.173,-0.133,-0.098,-0.032,0.031,0.082,0.133,0.494,0.695
862,-3.477,-2.546,-2.058,-1.846,-1.134,-0.652,-0.341,0.61,0.785,0.988,1.244,-0.334,-0.275,-0.223,-0.178,-0.129,-0.092,-0.018,0.13,0.13,0.216,0.36,-0.499,-0.271,-0.169,-0.162,-0.062,-0.031,0.001,0.104,0.148,0.335,1.221
863,-2.705,-2.495,-2.016,-1.689,-1.4,-1.21,-0.751,0.133,0.697,0.97,1.958,-0.448,-0.282,-0.197,-0.173,-0.146,-0.12,-0.09,0.074,0.213,0.242,0.261,-0.626,-0.287,-0.137,-0.101,-0.095,-0.066,-0.037,0.054,0.195,0.298,0.444
